Timestamp,URL,Time Spent
2024-10-25 17:22:37,www.google.com,3
2024-10-25 17:22:40,www.messenger.com,3
2024-10-25 17:22:58,web.skype.com,18
2024-10-25 17:22:59,nextvas-yogurt.com,1
2024-10-25 17:23:06,web.skype.com,7
2024-10-25 17:23:13,www.youtube.com,7
2024-10-25 17:23:14,www.google.com,1
2024-10-25 17:23:25,chrome:,11
2024-10-25 17:23:26,www.google.com,1
2024-10-25 17:24:35,chrome:,69
2024-10-25 17:24:37,www.messenger.com,2
2024-10-25 17:24:55,docs.google.com,18
2024-10-25 17:25:36,web.skype.com,41
2024-10-25 17:25:37,www.messenger.com,1
2024-10-25 17:25:38,localhost:8081,1
2024-10-25 17:25:44,www.meta.ai,6
2024-10-25 17:25:45,docs.google.com,1
2024-10-25 17:25:50,docs.google.com,5
Timestamp,URL,Time Spent
2024-10-25 18:11:12,chrome:,3
2024-10-25 18:11:12,www.youtube.com,0
2024-10-25 18:11:17,www.youtube.com,5
2024-10-25 18:11:18,web.skype.com,1
2024-10-25 18:11:19,nextvas-yogurt.com,1
2024-10-25 18:11:36,nextvas-yogurt.com,17
2024-10-25 18:15:15,web.skype.com,219
2024-10-25 18:15:15,chatgpt.com,0
Timestamp,URL,Time Spent
2024-10-28 19:03:04,stackoverflow.com,24
2024-10-28 19:03:11,github.com,7
2024-10-28 19:03:19,chrome:,8
2024-10-28 19:03:21,shopee.ph,2
2024-10-28 19:03:27,shopee.ph,6
2024-10-28 19:03:27,,6
2024-10-28 19:03:32,github.com,5
2024-10-28 19:03:35,chrome:,3
2024-10-28 19:04:23,github.com,48
2024-10-28 19:04:57,github.com,34
2024-10-28 19:05:01,mail.google.com,4
2024-10-28 19:05:07,mail.google.com,6
2024-10-28 19:05:19,mail.google.com,12
2024-10-28 19:05:22,github.com,3
2024-10-28 19:05:48,github.com,26
2024-10-28 19:08:20,mail.google.com,152
2024-10-28 19:08:26,chrome:,6
2024-10-28 19:08:27,nextvas-yogurt.com,1
2024-10-28 19:08:29,web.skype.com,2
2024-10-28 19:08:35,chrome:,6
2024-10-28 19:08:39,www.facebook.com,4
2024-10-28 19:08:54,www.facebook.com,15
2024-10-28 19:09:19,www.facebook.com,25
2024-10-28 19:10:40,www.facebook.com,81
2024-10-28 19:10:46,www.facebook.com,6
2024-10-28 19:11:06,www.facebook.com,20
2024-10-28 19:12:21,mail.google.com,75
2024-10-28 19:13:49,www.facebook.com,88
2024-10-28 19:13:56,www.facebook.com,7
2024-10-28 19:14:30,www.facebook.com,34
2024-10-28 19:14:43,www.facebook.com,13
2024-10-28 19:14:47,www.facebook.com,4
2024-10-28 19:15:00,www.facebook.com,13
2024-10-28 19:15:20,www.facebook.com,20
2024-10-28 19:17:39,mail.google.com,139
2024-10-28 19:17:56,github.com,17
2024-10-28 19:18:00,mail.google.com,4
2024-10-28 19:18:03,mail.google.com,3
2024-10-28 19:18:12,mail.google.com,9
